WP_182212117.1#1|Escherichia_fergusonii	4542	-	+	2	-5652	-1111	2063	6604	WP_182212116.1#1	NZ_JABXSL010000020.1	GCF_014042145.1
WP_182212117.1#1|Escherichia_fergusonii	420	-	+	0	-1099	-680	1632	2051	WP_181672490.1#1	NZ_JABXSL010000020.1	GCF_014042145.1
WP_182212117.1#1|Escherichia_fergusonii	261	-	-	0	-618	-358	1310	1570	WP_275055994.1#1	NZ_JABXSL010000020.1	GCF_014042145.1
WP_182212117.1#1|Escherichia_fergusonii	102	-	+	38	-191	-90	1042	1143	pseudogene_1.5*#1	NZ_JABXSL010000020.1	GCF_014042145.1
WP_182212117.1#1|Escherichia_fergusonii	252	-	+	36	1	252	700	951	WP_182212117.1#1	NZ_JABXSL010000020.1	GCF_014042145.1
WP_182212117.1#1|Escherichia_fergusonii	444	-	+	1	262	705	247	690	WP_182212118.1#1	NZ_JABXSL010000020.1	GCF_014042145.1
WP_182212117.1#1|Escherichia_fergusonii	217	-	-	0	735	951	1	217	WP_182252111.1#1	NZ_JABXSL010000020.1	GCF_014042145.1



WP_253887176.1#8|Actinokineospora_diospyrosa	465	-	-	0	-4769	-4305	404101	404565	WP_253887180.1#8	NZ_BAAAVB010000013.1	GCF_039534305.1
WP_253887176.1#8|Actinokineospora_diospyrosa	1302	-	-	0	-4261	-2960	402756	404057	WP_253887179.1#8	NZ_BAAAVB010000013.1	GCF_039534305.1
WP_253887176.1#8|Actinokineospora_diospyrosa	486	-	-	32	-2471	-1986	401782	402267	WP_253887178.1#8	NZ_BAAAVB010000013.1	GCF_039534305.1
WP_253887176.1#8|Actinokineospora_diospyrosa	1293	-	+	0	-1813	-521	400317	401609	WP_253887177.1#8	NZ_BAAAVB010000013.1	GCF_039534305.1
WP_253887176.1#8|Actinokineospora_diospyrosa	6888	-	+	36	1	6888	392908	399795	WP_253887176.1#8	NZ_BAAAVB010000013.1	GCF_039534305.1
WP_253887176.1#8|Actinokineospora_diospyrosa	471	-	+	1	6885	7355	392441	392911	WP_253887175.1#8	NZ_BAAAVB010000013.1	GCF_039534305.1
WP_253887176.1#8|Actinokineospora_diospyrosa	747	-	+	0	7539	8285	391511	392257	WP_253887293.1#8	NZ_BAAAVB010000013.1	GCF_039534305.1
WP_253887176.1#8|Actinokineospora_diospyrosa	1272	-	-	0	8269	9540	390256	391527	WP_253887174.1#8	NZ_BAAAVB010000013.1	GCF_039534305.1
WP_253887176.1#8|Actinokineospora_diospyrosa	957	-	-	0	9615	10571	389225	390181	WP_344800911.1#8	NZ_BAAAVB010000013.1	GCF_039534305.1



WP_280668953.1#22|Kitasatospora_sp__MAP12_9	1242	-	-	0	-10313	-9072	28905	30146	WP_280668948.1#22	NZ_JBNPVU010000005.1	GCF_050434185.1
WP_280668953.1#22|Kitasatospora_sp__MAP12_9	2577	-	+	4	-8853	-6277	26110	28686	WP_280668949.1#22	NZ_JBNPVU010000005.1	GCF_050434185.1
